GEO,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,29.5,30.5,30.9,31.1,33.6,35.2,34.4,36.1,39.4,38.8
Bulgaria,37.3,44.2,44.2,38.1,42.2,41.7,39,44.2,44.2,37.3
Czech Republic,32.4,33.5,34.0,35.5,36.2,37.6,38.7,38.7,39,39.1
Denmark,30.5,29.9,27.8,27.7,29.2,34.6,34.7,32.3,32.2,35.3
Germany,31.9,33.5,29.6,32.5,33.3,31.8,32.0,34.8,37.5,36.4
Estonia,19.9,19.4,19.5,20.8,21.5,21.6,21.8,23.1,23.4,23.7
Ireland,38.5,35.5,37.4,40.1,39.8,39.5,40.5,37.9,37.8,38.2
Greece,19.7,20.4,20.8,21.2,22.0,22.5,23.5,24.6,24.9,25.3
Spain,23.9,26.9,25.2,26.2,25.8,24.5,26.9,32.1,32,33.1
France,10.8,10.9,10.5,11.3,12.5,10.4,10.4,10.9,13.9,13.2
Croatia,21.0,22.5,22.1,21.7,22.5,23.5,25.8,26.6,25.2,23.7
Italy,20.3,21.2,21.6,22.0,22.9,23.4,24.3,25.4,25.7,26.1
Cyprus,21.7,23.6,23.8,23.1,19.3,18.5,25.6,27.5,24.2,24.6
Latvia,24.2,24.9,25.7,26.0,26.0,26.7,27.2,29.5,29.2,30.6
Lithuania,31.2,25.2,30.4,34.3,34.8,32.4,42.8,25.4,22.5,21.1
Luxembourg,25.5,32.4,32.9,26.8,28.1,29.9,34.0,41.8,43.2,42.5
Hungary,46.8,46.8,49.1,51.9,52,52.5,51.7,54.0,56.2,57.8
Malta,26.2,21.6,28.0,28.1,34.7,36.7,42.7,34.1,41.9,39.2
Netherlands,9.6,10.1,10.8,10.3,10.7,11.0,10.7,10.4,9.9,10.2
Austria,35.6,40.7,44.3,48.8,49.6,55.0,47.1,45.9,55.2,55.7
Poland,44.9,49.8,44.6,45.8,41.8,46.9,50.6,49.3,53.3,55.4
Portugal,16.3,14.7,18.5,18.4,18.5,17.7,20.1,22.7,22.9,25.1
Romania,20.7,22.8,20.9,20.9,22.7,23.4,20.4,17.0,21.1,21.1
Slovakia,29.9,36.2,31.7,28.2,36.3,40.2,43.3,42.5,42.5,38.2
Finland,24.3,24.9,27.0,27.3,28.3,28.0,38.3,40.6,42,44.1
Sweden,41.0,42.4,41.7,39.8,38.3,35.9,34.5,39.2,46.8,44.4
Iceland,43.8,49.7,50.0,45.6,51.8,53.8,50.1,57.0,53.4,50.7
Norway,12.9,16.7,18.9,20.3,22.7,23.9,26.2,30.6,37.3,33.3
United Kingdom,16.3,20.2,22.9,31.6,32.7,29,31.2,27.6,39.9,49.7
Montenegro,37.2,39.3,39.3,41.6,43.3,41.3,39.9,38.3,40.8,44.1
Macedonia,10.7,12.1,9.3,9.9,14.2,13.6,13.0,16.4,15.9,14.1
Serbia,37.6,52.5,37.9,26.4,31.7,35.5,39.8,40.5,38.1,40.7